;Id;Impact;Urgency;IncidentType;ServiceProcessed;MailSubject;MailTextBody;ManualGroups
3020;INC000009837603;4-Minor/Localized;4-Low;Service Request;EDA_S_Backup & Restore;Anfrage Vertretung Ljubljana_LBM;sehr geehrte damen und herren  da im archiv der botschaft im file über die humanitäre mission in slowenien im november 2016 einige dokumente nicht auffindbar sind, bitte ich sie, mir den e-mail verkehr von meiner mailbox aus der zeitspanne 1. 11. 2015 – 31.1. 2016 zu senden. alle eingetroffenen und vor allem alle gesandten e-mails.  danke für ihre unterstützung und freundliche grüsse;
3019;INC000009837595;3-Moderate/Limited;4-Low;Failure;EDA_S_BA_2FA;Smartcard: Zutrittsberechtigung EFFI;guten tag,  meine smartcard nr. 0 1 2 3 wird seit 3.3. bei zutrittspunkt loge effi sowie anderen eingangstüren nicht mehr erkannt, vermute defekt bei rfid  alle anderen funktionen, d.h. smartcard leser bei laptop, stempeluhr, drucker funktioniert einwandfrei kann die berechtigung wiederhergestellt werden? ansonsten bitte ich sie falls erforderlich den ersatz der karte in die wege leiten?  besten dank im voraus! freundliche grüsse;
3018;INC000009837528;4-Minor/Localized;4-Low;Service Request;EDA_ANW_DMS Fabasoft eGov Suite;DMS: Ablage in ein geschlossenes Dossier;guten tag  darf ich sie bitten, das mail im attach im unten markierten subdossier abzulegen. bitte den dokumententitel «reports tafa 2018» wählen.  danke  freundliche grüsse;
3016;INC000009837032;4-Minor/Localized;4-Low;Service Request;EDA_S_Order Management;Vertragsverlängerung Aude Favre (FVA) bis Ende Mai;guten tag  der vertrag unserer mitarbeiterin, aude favre (fva) wurde um einen monat bis ende mai verlängert. könnten sie mir bitte mitteilen wo/wie ich dies melden muss (e-order), damit sie überall im system bleibt?  vielen dank für ihre unterstützung.  mit freundlichen grüsse;
3015;INC000009836982;4-Minor/Localized;4-Low;Service Request;EDA_S_BA_Mailbox;"Aktualisierung der Member-Liste in DG ""_EDA All Users-Moskau ProHelvetia""";guten morgen liebe kolleginnen und kollegen  leider hat sich im team der prohelvetia russland eine unerwartete personaländerung ergeben. da für diese gruppe eine spezielle ‘distribution group’ (dg) erstellt werden musste, ist die darin enthaltene liste der members nun manuell zu aktualisieren.  betroffene dg: _eda all users-moskau prohelvetia  member zum entfernen:      «diamantidi evgeniiya prohelvetia» member zum hinzufügen:     «perova elena https://www.admin.ch>)  besten dank für das verständnis.  liebe grüsse;
3012;INC000009836665;4-Minor/Localized;4-Low;Failure;EDA_S_APS_OS_BasisSW;Elektronische Unterzeichnung funktioniert nicht;liebe frau furrer  nachdem ich nun zehnmal probiert habe, die beiden pdf-dok elektronisch per 'egov localsigner' zu unterzeichnen und stets gescheitert bin (siehe printscreen), komme ich nicht umhin, die dokument auszudrucken, handschriftlich zu unterzeichnen und ihnen per kurier zuzustellen. bislang hatte es stets funktioniert, jetzt auf einmal nicht mehr.  sie kennen die verhältnisse auf dieser vertretung und julien ist zzt abwesend, und so habe ich weder die zeit noch lust, mit dem helpdesk nach dem fehler zu suchen. ist wohl wieder so eine 'gefrickelte', überbezahlte und nicht sehr taugliche bundessoftware…  liebe grüsse;
3010;INC000009836403;4-Minor/Localized;4-Low;Service Request;EDA_S_APS_OS_BasisSW;FW: Anfrage von Herrn Thiam (MXM Mali-Stelle);sehr geehrte damen und herren  auf antrag von frau misteli, soll ich ihnen fragen was das problem mit den online word formular.  offenbar kann das person es nicht unterladen.  leider habe ich den direkte link von frau misteli nicht bekommen.  frau misteli wäre froh um eine antwort so bald wie möglich zu kriegen.  ich grüsse  From: misteli https://www.admin.ch> sent: thursday, march 5, 2020 9:15 am to: fragnière https://www.admin.ch> subject: fw: anfrage von herrn thiam (hsa mali-stelle)  liebe paola  kannst du bitte mit dem helpdesk klären, was das problem mit dem sef formular ist. danke.  lg janine  from: züger https://www.admin.ch>> sent: wednesday, march 4, 2020 4:33 pm to: misteli https://www.admin.ch>> subject: anfrage von herrn thiam (hsa mali-stelle)  liebe janine  heute hat mich herr thiam kontaktiert (er hat bereits mit dir telefoniert). er konnte das sep-formular nicht herunterladen und wendet sich an uns mit der bitte, ihm das formular oder den link nochmals zu schicken.  https://www.admin.ch>   besten dank und liebe grüsse;Word
3009;INC000009836310;4-Minor/Localized;4-Low;Service Request;EDA_S_Raumbewirtschaftung;Reinigung Teppich Büro 0 1 2 3 ;liebe kolleginnen und kollegen  nach meinem umzug ins büro 0 1 2 3 habe ich festgestellt, dass der teppich stark verschmutzt ist. wäre es möglich, ihn bei gelegenheit einmal reinigen zu lassen?  besten dank für ihre bemühungen im voraus.  freundliche grüsse;
3008;INC000009836280;3-Moderate/Limited;3-Medium;Service Request;EDA_ANW_SysP eDoc;FW: eda;guten tag,  das unten ersichtliche gerät funktioniert leider nicht mehr. wir haben es versucht an verschiedenen orten anzuschliessen, jedoch erfolgslos.  könnten sie uns bitte mit dem nächsten kurier nach kyiv ein neues gerät schicken.  besten dank und freundliche grüsse;
3007;INC000009835333;4-Minor/Localized;4-Low;Failure;EDA_ANW_ZACWEB;Problem Zacweb-Zugriff;sehr geehrte damen und herren  leider kann ich seit einiger zeit nicht mehr auf zacweb (https://www.admin.ch) zugreifen, es erscheint jeweils die folgende fehlermeldung:  [cid:image001.png@01d5f204.0ebe9660]  restarts habe ich bereits durchgeführt und bei meiner kollegin funktioniert der zugriff wie gewohnt.  besten dank für ihren support.  freundliche grüsse;
3006;INC000009835132;4-Minor/Localized;4-Low;Service Request;EDA_S_Order Management;eOrder iPhone replacement;guten tag  da es in tbilisi keine iphones mit gb 0 1 2 3 auf dem markt gibt, hätte ich diese für fzp und boral gerne über eorder in der schweiz bestellt. leider blockiert das system immer beim «smart device to be replaced», obwohl ich die bezeichnung aus dem inventar kopiere  [cid:image002.png@01d5f239.20062930]  0 1 2 3 provider_eda_hardware  mobile communication  smartphone  iphone 6 16gb  +0 1 2 3 [https://www.admin.ch>, iphone 6 16gb, 0 1 2 3 ffms89keg5mn  deployed    eda-dr  tiflis botschaft  franzen patric fzp  fzp   was müssen wir in diesem feld eingeben, damit wir die order erfassen können? wichtig, ich habe auch versucht eine «repair» order zu erfassen, bin aber auf dasselbe problem gestossen.  ich wäre froh wenn sie mir in dieser angelegenheit weiterhelfen könnten.  besten dank & freundliche grüsse;
3005;INC000009834994;4-Minor/Localized;4-Low;Service Request;EDA_S_Mobile Kommunikation;iPhone ersetzten Repräsentation;guten tag  wir haben die information gelesen, dass das iphone 6 ab juni nicht mehr unterstützt wird. nachdem wir den lokalen markt geprüft haben, mussten wir feststellen, dass apple geräte 10%+ teurer sind als in der schweiz. dies nach abzug der mehrwertsteuer! gibt es eine möglichkeit über den bund günstiger iphones für geschäftlichen gebrauch zu beziehen?  zudem hätte ich gerne gewusst welcher iphone typ momentan in der schweiz an die mitarbeitenden abgegeben wird.  freundliche grüsse;Smart_Device___MDM
3002;INC000009834568;3-Moderate/Limited;3-Medium;Failure;EDA_ANW_SysP eDoc;Rich Client;dear helpdesk team,  this is nathalie jabbour jbn, visa officer from the swiss embassy in cairo, egypt.  recently i am unable to open the program of rich client and a message appears that i should use the smartcard.  however, the smart card password popup doesn’t appear so i can enter my password and use the program normally.  i really appreciate your help for this issue as this program is essential for my daily work.  thank you in advance.   [cid:image006.png@01d5f20f.1c074f50]  best regards;eSysp___Biometrie
3001;INC000009834300;4-Minor/Localized;4-Low;Failure;EDA_S_Zusätzliche Software;Tokio: Fehlermeldung LMS;guten tag nach bern,  auch herr zihlmann erhält dieselbe fehlermeldung, wenn er beim lms einsteigen möchte.  schon vorab vielen grüsse  From: zihlmann https://www.admin.ch> sent: wednesday, march 4, 2020 3:47 pm to: köppel nko'o https://www.admin.ch> subject: fehlermeldung lms  liebe andrea,  wie versprochen sende ich dir einen snip der lms-fehlermeldung.  vielen dank für deine hilfe!  gruss;
3000;INC000009834282;4-Minor/Localized;4-Low;Service Request;EDA_S_BA_Mailbox;Junk Mail auf Delete ;sehr geehrte damen und herren  mails mit absender pakkakorn.jan… habe ich nun schon mehrmals auf junk/delete gesetzt, sie tauchen dennoch wieder auf.  wir hatten das problem letzte woche, und es hatte sich dann normaliesiert. nun tauchen die mails plötzlich wieder auf.  danke für ihre hilfe, ihn definitiv zu blockieren.  merci und freundliche grüsse;
2999;INC000009833944;4-Minor/Localized;4-Low;Service Request;EDA_S_BA_2FA;Fwd: Certificates expiry information;guten tag, ich bin mir noch sicher worum es sich hier handelt. können sie mir weiterhelfen?  besten dank und freundliche grüsse;
2998;INC000009833853;4-Minor/Localized;4-Low;Service Request;EDA_S_Order Management;SFR: Reserve Notebook hp;guten tag,  durch eine schwangerschaftsvertretung brauchen wir während der nächsten zeit ein gerät mehr als üblich.  derzeit habe ich noch ein reservegerät des typs dell e7270 (asset nr. 0 1 2 3 ). beide bisher erhaltenen hp geräte sind nun im einsatz.  darf ich sie bitten mir ein reservegerät der neuen generation zuzustellen (hp)?  bei gelegenheit wäre es eventuell sinnvoll eine schrittweise umrüstung von dell zu hp zu planen.  freundliche grüsse;
2997;INC000009833772;4-Minor/Localized;4-Low;Service Request;EDA_S_APS_OS_BasisSW;Einfügen des Schemas von einem Dok. in ein andees (Krisendispositiv);guten tag  könnten sie mir anweisungen dafür geben, wie ich das krisenorganigramm korrekt im krisendispositivfeb2020 unter 3.1. einfüge? im voraus besten dank!  freundliche grüsse;
2996;INC000009833685;4-Minor/Localized;4-Low;Service Request;EDA_S_BA_Mailbox;"Anfrage ""out-of-office replies""";liebes helpdesk-team  ich möchte gerne in meiner “out-of-office replies» folgende regelung anbringen:   [cid:image001.jpg@01d5f172.0 1 2 3 ]    bei meiner arbeitskollegin funktioniert dies, bei mir kommt die möglichkeit nicht zur auswahl.  können sie mir bitte weiterhelfen?  vielen dank!   freundliche grüsse;Outlook
2994;INC000009833606;4-Minor/Localized;4-Low;Failure;EDA_S_BA_Mailbox;Fehlermeldung beim Öffnen eines E-Mails;guten tag,  ich erhalte folgende fehlermeldung, wenn ich das markierte e-mail öffnen will:   [cid:image005.jpg@01d5f16f.acff3d10]  ich habe outlook bereits geschlossen und wieder geöffnet.  besten dank für ihre rückmeldung und freundliche grüsse;
2993;INC000009833579;4-Minor/Localized;4-Low;Service Request;EDA_S_Order Management;Zugriff auf neues Inventar und neues Evidence;sehr geehrte damen und herren  ich versuche gerade herauszufinden, wie man jemandem zugriff auf das neue inventar (nachfolgeprogramm von james) und evidence gibt. da es sich um onlineprogramme handelt, nehme ich an, dass es ähnlich ist wie bei vision+ oder evera und man muss ein formular ausfüllen. können sie mir bitte weiterhelfen? danke.  mit freundlichen grüsse;
2992;INC000009833533;4-Minor/Localized;4-Low;Service Request;EDA_S_Order Management;MAC8488023 ;guten tag  achtung: für oben genannte bestellung bitte kein neueres laptop als e7270. merci!  lieber gruss;
2991;INC000009833333;4-Minor/Localized;4-Low;Service Request;EDA_S_BA_Datenablage;Zugriff Ordner KMZ auf Laufwerk K für Muster Max MXM;liebe kolleginnen und kollegen,  wir bitten sie, den zugriff für den ordner kmz auf dem laufwerk k bei der zuständigen stelle zu beantragen.  besten dank und freundliche grüsse;
2990;INC000009833296;4-Minor/Localized;4-Low;Failure;EDA_S_BA_UCC_IVR;IVR Problem - «_EDA IVR MXM Vienna Embassy»;liebe kolleginnen, liebe kollegen  ich habe die öffnungszeiten optionen wie von der konsularische abteilung gefordert auch für die option 2.1.1 eingegeben, aber sobald ich den text bearbeite und auf speichern klicke, friert das programm ein und ich muss es über den task-manager schliessen. alles andere optionen funktioniert, ich kann die geschlossen tages bearbeiten, accounts einfügen und löschen. die andern öffnungszeiten optionen kann ich mir nur auf dem eingefügten text anhören.  vor monaten habe ich die option 1.1.1 modifiziert, und es ist dasselbe passiert: wurde ein ticket geöffnet (inc000009756476), und die basis services hat einfach eine leerstelle in dem text eingefügt, und hat alles funktionierte wie zuvor.  ich frage mich, ob es daran liegt, dass ich nicht das recht habe, die änderungen zu speichern. (änderungen sind gebührenpflichtig)  bitte öffnen sie ein neues ticket und senden sie es an die basis service dienst. vielen dank.  liebe grüsse;Interactive_Voice_Response__IVR_
2988;INC000009833276;4-Minor/Localized;4-Low;Service Request;EDA_S_APS_OS_BasisSW;FW: PDF24 - Default Format PDF/A;salut zäme  bitte ticket für basis plattformen erstellen:  könnt ihr bitte den pdf24 so konfigurieren, dass automatisch in pdf/a-format gespeichert wird (so wie auch im word). https://help.pdf24.org/de/foren/thema/pdf-a-als-standard/  könnt ihr das beim adobe acrobat 2017 auch so konfigurieren?  besten gruss  From: https://www.admin.ch> sent: tuesday, march 3, 2020 12:53 pm to: https://www.admin.ch> subject: pdf24 - default format pdf/a  lieber beat  im zusammenhang mit der zukünftigen speicherung unserer buchhaltungsbelege in vision+ wurde informiert, dass nur das format pdf/a als «archivwürdig» gilt.  da wir in unserer abteilung den ganzen tag mit pdf24 arbeiten, habe ich versucht unter «profiles» das format pdf/a zu hinterlegen und dieses als standard zu definieren –leider ohne erfolg. bei jeder speicherung übernimmt pdf24 wieder das default format, welches pdf 1.4 ist.  [cid:image001.jpg@01d5f15a.a996ca40]  wüsstest du evt. wie ich das hinkriegen könnte, damit wir in unserer abteilung dieses format als standard definieren könnten?  besten dank im voraus für deine unterstützung.  liebe grüsse  simon  simon duss  chef buchführung auslandvertretungen  eidgenössisches departement für auswärtige angelegenheiten eda direktion für ressourcen dr finanzen eda  freiburgstrasse 0 1 2 3 , 0 1 2 3 bern https://www.admin.ch/>  this e-mail may contain trade secrets or privileged, undisclosed or otherwise confidential information. if you have received this e-mail in error, you are hereby notified that any review, copying or distribution of it is strictly prohibited. please inform us immediately and destroy the original transmittal. thank you for your cooperation.  prozess: buchhaltung an iw-p basis https://www.admin.chshared/flink.jsp?exportname=gpmeda_datenbank&modelg;PDF_
2987;INC000009833261;4-Minor/Localized;4-Low;Failure;EDA_S_Raumbewirtschaftung;Glühbirne;guten tag auf dem damen-wc links (4. stock, abteilung kvb) braucht es eine neue glühbirne. darf ich das bei ihnen bestellen?  vielen dank und freundliche grüsse;
2985;INC000009833108;4-Minor/Localized;4-Low;Failure;EDA_S_BA_Mailbox;E-mails werden nicht ausgeliefert;guten tag,  seit gestern und heute sende ich e-mail und sie werden nicht geliefert. eine adresse davon ist eine mitarbeiterin vom eda. erst nach dem 2. oder 3. versuch wird die e-mail geliefert.  liegt ein problem in der verbindung vor?  danke für ihren support.  freundliche grüsse;
2984;INC000009832696;4-Minor/Localized;4-Low;Service Request;EDA_S_Zusätzliche Software;FW: LMS;liebes helpdesk,  könnt ihr frau niane-stucki bitte helfen? mit lms können wir nicht weiterhelfen.  vielen grüsse  From: niane-stucki https://www.admin.ch> sent: tuesday, march 3, https://www.admin.ch> subject: lms  guten tag  ich sollte auf lms neue kurse aufschalten, könnte mir jemand sagen, wie ich vorgehen muss?  https://www.admin.ch 1 2 3 &parentid=0 1 2 3 vielen dank und freundliche grüsse  chantal niane-stucki assistentin  kompetenzzentrum verträge und beschaffungen generalsekretariat  freiburgstrasse 0 1 2 3 bern  tel. +0 1 2 3 https://www.admin.ch/>   arbeitstage: montag, dienstag, freitag   from: https://www.admin.ch>> sent: tuesday, march 3, 2020 9:47 am to: niane-stucki https://www.admin.ch>> subject: fw: vous êtes formateur/formatrice pour le cours « gestion des mandats de types a + b & système d’honoraires applicable aux mandats »    from: stalder https://www.admin.ch>> sent: wednesday, november 6, 2019 11:44 am to: https://www.admin.ch>> subject: re: vous êtes formateur/formatrice pour le cours « gestion des mandats de types a + b & système d’honoraires applicable aux mandats »  salut laila  je n’arrive pas a annulé le cours sur lms et je ne sais pas comment mettre un nouveau cours sur lms.  laeticia me la montré il y a longtemps.  connais-tu qqn qui pourrait le faire ?  from: https://www.admin.ch>> sent: tuesday, november 5, 2019 6:31 am to: stalder https://www.admin.ch>> subject: fw: vous êtes formateur/formatrice pour le cours « gestion des mandats de types a + b & système d’honoraires applicable aux mandats »  hello maria, je t’ai envoyé ce message hier, j’ai reçu une erreur, l’as-tu reçu ?!  from: abbaro laïla eda arl sent: monday, november 4, 2019 8:34 am to: stalder https://www.admin.ch>> cc: villiger https://www.admin.ch>> subject: fw: vous êtes formateur/formatrice pour le cours « gestion des mandats de types a + b & système d’honoraires applicable aux mandats »  salut maria, apparemment laeticia n’a pas annulé définitivement le cours dans lms. pourrais-tu le faire stp et communiquer à ces personnes que le cours n’a pas lieu à cause de notre workshop stp. le prochain planifié en français est le 5 mars 2020. merci de vérifier aussi, si laeticia a bien mis ce cours du 5.03.2020 dans l’offre lms. merci d’avance à toi et https://www.admin.ch>> sent: monday, november 4, 2019 8:30 am to: https://www.admin.ch>> subject: vous êtes formateur/formatrice pour le cours « gestion des mandats de types a + b & système d’honoraires applicable aux mandats »   [cid:image001.png@01d59496.f3819a20]    département fédéral des affaires étrangères dfae madame, vous êtes formateur/trice pour le cours suivant : « gestion des mandats de types a + b & système d’honoraires applicable aux mandats »  identifiant de la classe : 1006_gesmdthon_f/191107  dates : début  fin  07.11.2019 08:30:0 1 2 3 .11.2019 10:00:00   lieu : bâtiment  salle  adresse  npa  ville  dfae  raum a2007, gebäude 2  freiburgstrasse 0 1 2 3 bern   participants/es : prénom  nom  adresse https://www.admin.ch>  https://www.admin.ch>  https://www.admin.ch>  meilleures salutations;
2983;INC000009831980;4-Minor/Localized;4-Low;Failure;EDA_S_APS_PC;Defektes Notebook;guten morgen  ich würde gerne ein ersatzgerät für herrn banu sjadzali sjb bestellen. bei seinem jetzigen laptop (0 1 2 3 ), funktioniert das touchpad nicht mehr richtig.  vielen dank und freundliche grüsse;
2981;INC000009831657;4-Minor/Localized;4-Low;Service Request;EDA_S_Zusätzliche Software;KeePass update?;liebe kolleginnen und kollegen  mein keepass programm verlangt nach einem update. doch im software center unter «updates» finde ich nichts. wie muss ich vorgehen?  vielen dank;
2980;INC000009831638;4-Minor/Localized;4-Low;Service Request;EDA_S_BA_Account;Muster Jean-Baptise EDA MXM;"guten abend  herr Muster hat bis freitag in bern gearbeitet, kommt heute abend hier an und wird morgen die arbeit aufnehmen.  mir ist gerade aufgefallen, dass er zwar im admindirectory bereits mit ""dakar"" aufgeführt wird aber im global address book noch mit office ""ef27sts"".  ich nehme an, das ist nicht so wichtig, dass er nicht arbeiten könnte.  mit freundlichen grüsse";
2978;INC000009831526;4-Minor/Localized;4-Low;Service Request;EDA_ANW_SysP eDoc;Fujitsu 0 1 2 3 Mexiko;sehr geehrte kollegen,  wir haben heute den neuen scanner fujitsu 0 1 2 3 als ersatz für den fujitsu 0 1 2 3 erhalten. leider kann ich diesen mittels der cd nicht auf unserer biometriestation installieren, weil es keine cd-anschluss gibt. können sie mir mitteilen, ob sie den scanner auf der biometriestation dieser vertretung installieren werden, oder wie ich diesen funktionsfertig bekomme.  für ihre bemühungen danke ich ihnen schon recht herzlich im voraus.  freundliche grüsse  der schweizerische geschäftsträger a.i. i.a.  martina behr kanzleimitarbeiterin  embajada de suiza paseo de las palmas no. 0 1 2 3 , piso 11 torre optima i alc. miguel hidalg;eSysp___Biometrie
2977;INC000009831386;4-Minor/Localized;4-Low;Service Request;EDA_S_BA_UCC_Benutzertelefonie;Dial in für Conference Call;liebe kolleginnen und kollegen  ich habe für eine videokonferenz mit anderen missionen in new york die folgenden instruktionen erhalten:  https://www.admin.ch> (if older system is used, please instead dial in the ip-address: 0 1 2 3 .0 1 2 3 .0 1 2 3 .60)  1. please enter pin: (0 1 2 3 ). ending entry with  # 2. please enter the conference code now: 0 1 2 3   # 3. connecting to your conference now 4. waiting for conference chairperson (black background)   können si emir sagen, wie ich vorgehen muss, um mich da einzuwählen?  freundliche grüsse;
2976;INC000009831160;4-Minor/Localized;4-Low;Failure;EDA_S_APS_PC;Notebook 0 1 2 3 austauschen?;guten tag  ich habe ein problem mit mein notebook. es gibt probleme bei kontakt der smartcard mit dem notebook. es liegt nicht an der smartcard, da ich diese vor nicht allzu langer zeit gewechselt habe. wäre es möglich, mein notebook auszutauschen? es ist ein dell latitude e7270. im anhang sende ich ihnen die spezifikationen meines geräts. ich habe gehört, dass man eh alle ältere notebooks ersetzen wird.  danke für eine rückmeldung.  beste grüsse;
2974;INC000009830863;4-Minor/Localized;4-Low;Failure;EDA_S_BA_Mailbox;Fehlermeldung beim Import Outlook;guten tag nochmals  ich habe versucht den move zu machen und folgende fehlermeldung erhalten:  [cid:image001.jpg@01d5f092.1cc12890]  könnt ihr mir da weiterhelfen?  lg;
2972;INC000009830556;4-Minor/Localized;4-Low;Service Request;EDA_S_Benutzerunterstützung;Anmeldung LMS Schulung Look & Feel;guten morgen  ich hab mich letzte woche für den untenstehenden kurs (acta nova) angemeldet.  [cid:image001.png@01d5f082.5a8666f0]  meine kollegen haben nach der anmeldung den link bekommen für das webinar. leider habe ich diesen link nicht bekommen. kann dieser mir noch geschickt werden?  freundliche grüsse;
2971;INC000009830455;4-Minor/Localized;4-Low;Service Request;EDA_S_BA_UCC_Benutzertelefonie;Telefonring;liebes team  ich bin seit februar 2020 nicht mehr im team hochschulpraktika unter der führung von marie-therese silva siv.  ich bin jedoch immer noch im telefonring von frau silva und bitte sie mich aus diesem telefonring zu entfernen, damit ich keine anrufe mehr erhalte.  besten dank im voraus für die bearbeitung.  freundliche grüsse;Benutzeranleitungen_Telefonie
2970;INC000009830255;4-Minor/Localized;4-Low;Service Request;EDA_S_BA_Mailbox;Krankheitsbedinget Abwesenheit;sehr geehrte kollege/innen,  unsere kollegin frau melanie kiss (kisme) ist krank.  da sie sich u.a. mit konsularischen angelegenheiten beschäftigt möchten wir in ihrem outlook box die «out off office» meldung einstellen lassen, um die interessenten darüber informieren zu können, dass vorübergehend – mind. 2.-3 tage lang – sie ihre emails nicht beantworten kann. als bemerkung zu der «out of office» meldung möchten wir einen satz hin fügen: «in dringenden fällen bitte kontaktieren sie uns über https://www.admin.ch  ich hoffe, dass es ihnen möglich ist, diese meldung in dem mailbox von frau kiss einzustellen.  vielen dank und schöne grüsse;
2969;INC000009830223;4-Minor/Localized;4-Low;Failure;EDA_S_Netzwerk Ausland;PHRE301    ||    HARARE, Zimbabwe  ||   neues Ticket schliessen: 2002P48107;sehr geehrtes bit team,  folg;
2967;INC000009830068;4-Minor/Localized;4-Low;Service Request;EDA_S_Mobile Kommunikation;Handover IPhone;guten morgen lebes helpdeskteam, ich hoffe ihr hattet einen guten start in die neue woche ?  heute komme ich mit einem iphone-tausch…  sonja isella ( iso) soll das phone von laura wyss ( wyu) bekommen. die kollegin wyu hat uns verlassen und ist seit freitag abgemeldet (auch nicht mehr zu finden unter ihrem kürzel) ich wollte den handover im e-order veranlassen aber wie gesagt frau wyss ist nicht mehr zu finden. ich hoffe ihr könnt mir helfen.  die imei des phones ist 0 1 2 3  / iphone 7, seriennummer f71yh0xnhg6w  vielen dank für eure hilfe…. kommt stressfrei durch den tag  liebe grüsse;
2965;INC000009828447;4-Minor/Localized;4-Low;Service Request;EDA_S_APS_OS_BasisSW;Tokio: 1. Arbeitstag neuer MA - Freischaltung Station;guten tag nach bern,  am montag 02.03.2020 wird herr fleury benjamin (fum) auf der botschaft in tokio anfangen.  könnten sie bitte folgend ws freischalten: 0 1 2 3 vielen dank und beste grüsse;
2964;INC000009827845;4-Minor/Localized;2-High;Failure;EDA_S_Netzwerk Ausland;PHRE301  || Zimbabwe / HARARE || neues Ticket : 2002P48107;sehr geehrtes bit team,  folgender ausfall wurde von uns beobachtet:  router       : phre301 equant tt nr :  2002p48107 standort     : zimbabwe / harare  ausfallbeginn : 29/02/2020 00:38 utc  ausfallende   : n/a  ausfallursache: noch nicht bekannt   wir möchten sie darauf hinweisen, dass es eine störung ihrer verbindung gibt.  für die weitere fehlerbehebung benötigen wir eine kurze bestätigung, ob es strom vor ort gibt.  des weiteren würden wir sie bitten einen reset des router und modems durchzuführen und uns danach den led status mitteilen.  bitte ein foto des leds anfuegen !  diese vorgehensweise würde uns für die weitere fehleranalyse sehr helfen.    best regards;
2963;INC000009827772;4-Minor/Localized;4-Low;Service Request;EDA_S_Mobile Kommunikation;Skype for business auf dem iPhone;sehr geehrte damien und herren  wie kann ich dies auf meine iphone installieren und anmelden. nach der installation melde ich mich anscheinend nicht richtig an. worauf muss ich achten? (habe keine anleitung auf dem intraweb gefunden).  vielen dank für ihre hilfe zum voraus.  mit besten grüsse;Benutzeranleitungen_Telefonie
2962;INC000009827393;3-Moderate/Limited;4-Low;Failure;EDA_S_BA_2FA;FW: Smartcard en panne;guten tag,  gerne möchte ich sie um unterstützung bzlg meiner smartcard bitten wie unten beschrieben. besten dank;
2961;INC000009827121;4-Minor/Localized;4-Low;Service Request;EDA_S_Order Management;MAC484251;liebe kolleginnen und kollegen  am montag fängt daniel heeb bei uns an, den eintritt hatte ich mit obigem mac gemeldet. nun habe ich beim smartcardoffice angefragt wegen dem mail mit dem links zu den terminen. im moment kann das mail aber nicht verschickt werden, das smartcard-office wartet offenbar noch auf ein finmail und verschickt erst dann die terminmöglichkeiten.  werden noch irgendwelche infos oder bestätigungen benötigt?  lieber gruss;
2960;INC000009827089;3-Moderate/Limited;4-Low;Failure;EDA_S_Netzwerk Ausland;Coupure d'électricité;chère madame, cher monsieur,  dans le but d’améliorer le circuit électrique du bâtiment (bureaux), l’électricité sera interrompu dans le bâtiment ce jour 28 février 2020, de 18h à 23h.  nous vous prions de nous dire la conduite à tenir dans une telle situation.  meilleures salutations;
2959;INC000009826992;4-Minor/Localized;4-Low;Service Request;EDA_S_APS_OS_BasisSW;Anfrage bezgl. Links Weiterleitung zu EDGE wegen Internet Explorer (gesperrt);guten tag  gerne möchte ich anfragen, ob sie an meinem computer die aenderung so vornehmen können, dass links direkt im edge geöffnet werden? da vieles im internet explorer ja gesperrt ist, kann ich die meisten links nicht öffnen.  meine kollegin hat mich darauf hingewiesen, dass das helpdesk ihr damit geholfen hat. ich wollte einen link bzgl. coronavirus-guidelines öffnen aus dem email von heute morgen.   vielen dank für ihre hilfe.  mit freundlichen grüsse;
2958;INC000009826819;3-Moderate/Limited;3-Medium;Failure;EDA_S_Netzwerk Ausland;FW: Service maintenance notification;"dear helpdesk,  i would like to inform about the local internet provider online isp, will maintenance system on 1st sunday from 12:0 1 2 3 am so during that period will interrupt with the connection.  thank you for your understanding.  have a lovely weekend  regards,  ra   https://www.admin.ch> sent: friday, february 28, 2020 2:11 pm https://www.admin.ch>; https://www.admin.ch>; https://www.admin.ch> subject: service maintenance notification  dear valued customers, greeting from online isp!  we are writing to inform you of an upcoming maintenance affecting online subscribers as below: *note: we had provided two links for your connection. so this maintenance are effected to main link only  date/time:  date: sunday 1st march, 2020  from: 12:00am gmt +7  to: 6:00am gmt +7  circuit id  acc id: 0 1 2 3 customer name impact/ location  acc id: 0 1 2 3  | swiss agency for development and cooperation sdc representation office phnom penh | platinum - fiber 25mbps  purpose description of maintenance:  system maintenance to improve our service qualities, this is necessary to ensure the long-term health and stability  affected period:  we do not anticipate service interruption to be longer than 4:00hours service outage.  customer contact person + contact details:  swiss agency for development and cooperation sdc representation office phnom penh  service provider contact person + contact details:  online isp 0 1 2 3 /0 1 2 3 affection area  online user connected at azg pop at beung kangkong, khan chamkarmorn will be affected in mid-night during this maintenance.   should you have any concerns, please kindly feel free contact us back ================= thank you  best regards";
2955;INC000009825721;2-Significant/Large;2-High;Service Request;EDA_ANW_Internet EDA;EDA-Seite down;"guten abend  ich gehe davon aus, dass sie bereits informiert sind, dass die eda-seite schon seit einer weile ""down"" ist. können sie evtl. voraussagen bis wann das problem behoben sein sollte?  besten dank und freundliche grüsse";Smart_Device___MDM|eSysp___Biometrie|Notebook
